tdate,dis_name,positive_cases
2020-06-28,Tangail,31
2020-06-28,Bagerhat,2
2020-06-28,Jhenaidah,4
2020-06-28,Khulna,4
2020-06-28,Kushtia,2
2020-06-28,Magura,2
2020-06-28,Narail,2
2020-06-28,Satkhira,2
2020-06-28,Jamalpur,8
2020-06-28,Mymensingh,163
2020-06-28,Netrakona,84
2020-06-28,Bogra,69
2020-06-28,Joypurhat,4
2020-06-28,Naogaon,3
2020-06-28,Natore,6
2020-06-28,Nawabganj,6
2020-06-28,Pabna,2
2020-06-28,Rajshahi,3
2020-06-28,Sirajganj,8
2020-06-28,Dinajpur,4
2020-06-28,Gaibandha,2
2020-06-28,Lalmonirhat,6
2020-06-28,Nilphamari,5
2020-06-28,Habiganj,69
2020-06-28,Maulvibazar,16
2020-06-28,Sunamganj,28
2020-06-28,Sylhet,267
2020-06-27, ,3
2020-06-27,Barguna,35
2020-06-27,Barisal,64
2020-06-27,Bhola,17
2020-06-27,Patuakhali,18
2020-06-27,Pirojpur,16
2020-06-27,Bandarban,18
2020-06-27,Brahamanbaria,9
2020-06-27,Chandpur,62
2020-06-27,Chittagong,68
2020-06-27,Comilla,314
2020-06-27,Cox's Bazar,28
2020-06-27,Feni,17
2020-06-27,Khagrachhari,20
2020-06-27,Lakshmipur,6
2020-06-27,Noakhali,41
2020-06-27,Rangamati,2
2020-06-27,Dhaka,1368
2020-06-27,Faridpur,124
2020-06-27,Gazipur,42
2020-06-27,Gopalganj,41
2020-06-27,Kishoreganj,8
2020-06-27,Madaripur,18
2020-06-27,Manikganj,5
2020-06-27,Munshiganj,5
2020-06-27,Narayanganj,179
2020-06-27,Narsingdi,11
2020-06-27,Rajbari,61
2020-06-27,Shariatpur,3
2020-06-27,Tangail,37
2020-06-27,Bagerhat,32
2020-06-27,Chuadanga,3
2020-06-27,Jessore,11
2020-06-27,Jhenaidah,22
2020-06-27,Khulna,163
2020-06-27,Kushtia,7
2020-06-27,Magura,9
2020-06-27,Meherpur,8
2020-06-27,Narail,9
2020-06-27,Satkhira,12
2020-06-27,Jamalpur,8
2020-06-27,Mymensingh,61
2020-06-27,Netrakona,12
2020-06-27,Sherpur,2
2020-06-27,Bogra,90
2020-06-27,Joypurhat,3
2020-06-27,Natore,4
2020-06-27,Nawabganj,2
2020-06-27,Pabna,7
2020-06-27,Sirajganj,39
2020-06-27,Dinajpur,24
2020-06-27,Gaibandha,7
2020-06-27,Kurigram,4
2020-06-27,Nilphamari,6
2020-06-27,Panchagarh,4
2020-06-27,Rangpur,2
2020-06-27,Habiganj,44
2020-06-27,Maulvibazar,12
2020-06-27,Sunamganj,71
2020-06-27,Sylhet,157
2020-06-26,Barguna,1
2020-06-26,Barisal,29
2020-06-26,Bhola,9
2020-06-26,Patuakhali,8
2020-06-26,Pirojpur,12
2020-06-26,Bandarban,48
2020-06-26,Brahamanbaria,6
2020-06-26,Chandpur,54
2020-06-26,Chittagong,210
2020-06-26,Comilla,120
2020-06-26,Cox's Bazar,77
2020-06-26,Feni,50
2020-06-26,Khagrachhari,5
2020-06-26,Lakshmipur,1
